,_id,user_id,action,date,session_id
47,67206d350bf0bcaf64c85f4c,6n51ts6tudp,Click on RESUMEN_acta_077,2024-10-29T05:05:56.959Z,
48,67206e840bf0bcaf64c85f4d,6n51ts6tudp,Click on PDF_acta_077,2024-10-29T05:11:32.128Z,
49,67207a2e72f6ab798cc248cd,6n51ts6tudp,Click on MENU_Actas del Concejo de Quito,2024-10-29T06:01:15.871Z,
50,67207a2f72f6ab798cc248ce,6n51ts6tudp,Click on MES_Agosto button,2024-10-29T06:01:19.298Z,
51,67207a3572f6ab798cc248cf,6n51ts6tudp,Click on RESUMEN_acta_077,2024-10-29T06:01:25.448Z,
52,67207f9d0186e033bf0823d7,6n51ts6tudp,Click on MENU_Actas del Concejo de Quito,2024-10-29T06:24:26.743Z,
53,67207f9f0186e033bf0823d8,6n51ts6tudp,Click on MES_Agosto button,2024-10-29T06:24:31.042Z,
54,672080640186e033bf0823d9,6n51ts6tudp,Click on MES_Agosto button,2024-10-29T06:27:48.730Z,
55,672080650186e033bf0823da,6n51ts6tudp,Click on MES_Agosto button,2024-10-29T06:27:49.585Z,
56,6720806647aedc32a0498c41,6n51ts6tudp,Click on RESUMEN_acta_077,2024-10-29T06:27:50.754Z,
57,6720e90ff3f143d05ee81de3,avrc16wjuh,Click on LEER_ resúmenes,2024-10-29T13:54:21.607Z,
58,6720e926f3f143d05ee81de4,avrc16wjuh,Click on MES_Agosto button,2024-10-29T13:54:46.037Z,
59,6720e930f3f143d05ee81de5,avrc16wjuh,Click on RESUMEN_acta_077,2024-10-29T13:54:56.468Z,
60,6720e9aff3f143d05ee81de6,avrc16wjuh,Click on PDF_acta_077,2024-10-29T13:57:02.728Z,
61,6720ee8838aceebcefdf98d0,,Click on MENU_Actas del Concejo de Quito,2024-10-29T14:17:43.292Z,0d4f8akv8q18
62,6720ee8b38aceebcefdf98d1,,Click on MES_Agosto button,2024-10-29T14:17:47.276Z,0d4f8akv8q18
63,6720ee8b38aceebcefdf98d2,,Click on RESUMEN_acta_077,2024-10-29T14:17:47.930Z,0d4f8akv8q18
64,6720ee9538aceebcefdf98d4,,Click on MENU_Actas del Concejo de Quito,2024-10-29T14:17:57.024Z,0d4f8akv8q18
65,6720ee9638aceebcefdf98d5,,Click on MES_Enero button,2024-10-29T14:17:58.055Z,0d4f8akv8q18
66,6720ee9738aceebcefdf98d6,,Click on RESUMEN_acta_046,2024-10-29T14:17:59.482Z,0d4f8akv8q18
67,6720ef5f38aceebcefdf98d8,,Click on MENU_Actas del Concejo de Quito,2024-10-29T14:20:52.288Z,8f3ieshbbm8
68,6720ef92dbc6323dd029d18e,726mcpi7e5s,Click on MES_Agosto button,2024-10-29T14:22:08.606Z,
69,6720ef92dbc6323dd029d18f,726mcpi7e5s,Click on MES_Mayo button,2024-10-29T14:22:10.359Z,
70,6720ef94dbc6323dd029d190,726mcpi7e5s,Click on MES_Abril button,2024-10-29T14:22:11.665Z,
71,6720ef99dbc6323dd029d191,726mcpi7e5s,Click on MES_Agosto button,2024-10-29T14:22:16.870Z,
72,6720f054dbc6323dd029d192,726mcpi7e5s,Click on MES_Agosto button,2024-10-29T14:25:24.553Z,
73,6720f05ddbc6323dd029d193,726mcpi7e5s,Click on MES_Agosto button,2024-10-29T14:25:32.649Z,
74,6720f101dbc6323dd029d194,l114lx9uwxh,Click on MES_Agosto button,2024-10-29T14:28:17.392Z,
75,6720fa93c7331b3b937d75a6,2nrtphn925e,Click on MENU_Actas del Concejo de Quito,2024-10-29T15:09:05.283Z,
76,6720fa95c7331b3b937d75a7,2nrtphn925e,Click on MES_Agosto button,2024-10-29T15:09:08.854Z,
77,6720fa98c7331b3b937d75a8,2nrtphn925e,Click on MES_Julio button,2024-10-29T15:09:11.962Z,
78,6720fa9ac7331b3b937d75a9,2nrtphn925e,Click on MES_Agosto button,2024-10-29T15:09:14.688Z,
79,6720fa9cc7331b3b937d75aa,2nrtphn925e,Click on MES_Mayo button,2024-10-29T15:09:16.308Z,
80,6720fa9ec7331b3b937d75ab,2nrtphn925e,Click on MES_Abril button,2024-10-29T15:09:17.732Z,
